Unnamed: 0,id,url,titre,categorie,gouvernorat,neuf,source,URL,Prix,description
10,10,https://www.tayara.tn/item/appartements/tunis/cit-olympique/cit-olympique-appartement-s2-a-vendre/693ab639cd04d08be7492f7f/,📍CITÉ OLYMPIQUE: APPARTEMENT S+2  A VENDRE,Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/cit-olympique/cit-olympique-appartement-s2-a-vendre/693ab639cd04d08be7492f7f/,779.0,
11,11,https://www.tayara.tn/item/maisons-et-villas/tunis/ezzouhour/cite-ezzouhour-4-tunis-etage-de-villa-vendre-avec-certificat-de-proprit/693ab5d4cd04d08be7492f51/,CITE EZZOUHOUR 4 - TUNIS  : ETAGE DE VILLA  À VENDRE AVEC CERTIFICAT DE PROPRIÉTÉ,Maisons et Villas,Tunis,False,tayara,https://www.tayara.tn/item/maisons-et-villas/tunis/ezzouhour/cite-ezzouhour-4-tunis-etage-de-villa-vendre-avec-certificat-de-proprit/693ab5d4cd04d08be7492f51/,160000.0,
12,12,https://www.tayara.tn/item/appartements/ben-arous/ezzahra/appartement-s3-situ-ezzahra-lyce/6936e5ec26d7926c8bc4f2a6/,Appartement S3 Situé À Ezzahra Lycée,Appartements,Ben Arous,False,tayara,https://www.tayara.tn/item/appartements/ben-arous/ezzahra/appartement-s3-situ-ezzahra-lyce/6936e5ec26d7926c8bc4f2a6/,110000.0,"En Exclusivité Chez Agence Immobilière JOUINI
À Vendre, Appartement S3 Situé À Ezzahra Lycée Cité El Habib Dans Le Gouvernorat De Ben Arous.
Emplacement Pratique Et Recherché, À Proximité Immédiate De Toutes Les Commodités : Gare De Train, Grandes Surfaces, Collège Et Lycée, Avec Un Accès Rapide À L’autoroute Tunis–Sousse. Le Centre-Ville De Tunis (Avenue Habib Bourguiba) Se Trouve À Environ 15 Minutes.

L’appartement Se Compose De :
• Un Salon Avec Balcon
• Trois Chambres À Coucher
• Une Salle De Bain
• Une Cuisine Fonctionnelle

Superficie Totale : 100 M²
Titre Foncier Individuel
Prix Demandé : 110 000 DT

Pour Plus D’informations Ou Pour Organiser Une Visite, Veuillez Contacter l’Agence Immobilière JOUINI"
13,13,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-situ-la-nouvelle-soukra-direct-promoteur-/693ab529cd04d08be7492ef6/,À VENDRE : Des appartements S+1 situé à La Nouvelle Soukra ( Direct Promoteur ),Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-situ-la-nouvelle-soukra-direct-promoteur-/693ab529cd04d08be7492ef6/,39000.0,
14,14,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s2-idalement-situ-cit-wahat/693ab5148914daae5199a53e/,"À LOUER : Un appartement S+2, idéalement situé à Cité Wahat",Appartements,tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/l-aouina/-louer-un-appartement-s2-idalement-situ-cit-wahat/693ab5148914daae5199a53e/,160000.0,
15,15,https://www.tayara.tn/item/appartements/tunis/l-aouina/appartement-s4-el-wahat-aouina/693446f48914daae5196ea57/,Appartement S4 À El Wahat Aouina,Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/l-aouina/appartement-s4-el-wahat-aouina/693446f48914daae5196ea57/,450000.0,"Exclusivité – Immobilière Jouini
Appartement S+4 À Vendre Situé À El Wahat Aouina, Dans Une Résidence Gardée Et Sécurisée 24/7.
Emplacement Stratégique, À Proximité Immédiate Du Jardin D’aouina, De La Soukra Et De La Route De La Marsa.
Composition :
•	Salon Avec Balcon
•	Suite Parentale Avec Salle De Bain Et Dressing
•	3 Chambres Avec Dressings
•	Cuisine Équipée Avec Séchoir
•	Salle D’eau Invités
•	Salle De Bain Commune
Résidence : Sécurisée, 2 Ascenseurs
Étage : 6ᵉ Et Dernier
Superficie Totale : 190 M²
Parking : Place Privée Au Sous-Sol
Titre Foncier Individuel
Composition :
•	Salon Avec Balcon
•	Suite Parentale Avec Salle De Bain Et Dressing
•	3 Chambres Avec Dressings
•	Cuisine Équipée Avec Séchoir
•	Salle D’eau Invités
•	Salle De Bain Commune
Prix Demandé : 450.000 Dt
Pour Plus D’informations Ou Pour Planifier Une Visite, Contactez Immobilière Jouini"
16,16,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-centre-mdical-ain-zaghouan-direct-promoteur-/693ab5028914daae5199a530/,À VENDRE :Centre Médical  à Ain Zaghouan ( Direct Promoteur ),Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/-vendre-centre-mdical-ain-zaghouan-direct-promoteur-/693ab5028914daae5199a530/,29000.0,
17,17,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s2-s3-haut-standing-situs-la-nouvelle-soukra/693ab4cbcd04d08be7492eb7/,À VENDRE : Des appartements S+2 & S+3 Haut standing situés à La Nouvelle Soukra,Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s2-s3-haut-standing-situs-la-nouvelle-soukra/693ab4cbcd04d08be7492eb7/,160000.0,
18,18,https://www.tayara.tn/item/appartements/ariana/ghazela/ghazela-appartement-s3-a-vendre/693ab4b7cd04d08be7492eaf/,GHAZELA : APPARTEMENT S+3  A VENDRE,Appartements,Ariana,False,tayara,https://www.tayara.tn/item/appartements/ariana/ghazela/ghazela-appartement-s3-a-vendre/693ab4b7cd04d08be7492eaf/,39000.0,
19,19,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s3-vendre/693ab4a28914daae5199a4fd/,ENNASR 2 : APPARTEMENT S+3 À VENDRE,Appartements,Ariana,False,tayara,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s3-vendre/693ab4a28914daae5199a4fd/,210000.0,
20,20,https://www.tayara.tn/item/maisons-et-villas/tunis/el-omrane/-opportunit-ne-pas-rater-france-ville-villa-s7-faisant-langle-vendre/693ab46ccd04d08be7492e8a/,"🛑 OPPORTUNITÉ NE PAS RATER 
📍 FRANCE VILLE – VILLA S+7 FAISANT L’ANGLE À VENDRE",Maisons et Villas,Tunis,False,tayara,https://www.tayara.tn/item/maisons-et-villas/tunis/el-omrane/-opportunit-ne-pas-rater-france-ville-villa-s7-faisant-langle-vendre/693ab46ccd04d08be7492e8a/,39000.0,
21,21,https://www.tayara.tn/item/appartements/ariana/el-menzah-7/-7-/693ab3da8914daae5199a48d/,بدون وسيط بيع شقة بالمنزه 7 من المالك مباشرة,Appartements,Ariana,False,tayara,https://www.tayara.tn/item/appartements/ariana/el-menzah-7/-7-/693ab3da8914daae5199a48d/,171000.0,"S+1 للبيع بالمنزه 7 بدون وسيط

– 171,000 دينار تونسي شقة 68 م² بالطابق الخامس مع مصعد

تدفئة مركزية ومكيّفات + cellier 
18 م².

موقف سيارات داخل الإقامة + حارس ليلي.

موقع مميز قرب المغازة العامة المنزه 6 مقهى 716، وعلى بعد دقائق من حي النصر…

فرصة استثمارية (طلب مرتفع على المنطقة)
لمزيد المعلومات 

للزيارة  (هاتف/واتساب):🚫 يُرجى من الوكالات العقارية عدم الاتصال"
22,22,https://www.tayara.tn/item/appartements/tunis/la-marsa/vente-appartement-s3-a-la-marsa/692d8e39145e1617cbaec68e/,VENTE APPARTEMENT S+3 A LA MARSA,Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/la-marsa/vente-appartement-s3-a-la-marsa/692d8e39145e1617cbaec68e/,540000.0,"A la vente un s3 standing  a la marsa coté carrefour la marsa  , au 2 ème étage composée de salon , salle a manger , salle d'eau des invités , cuisine équipée, , séchoir , 3 chambres a couchers dont une suite parentale  avec salle d'eau douche et une salle de bain , balcon , chauffage centrale .clims , place parking sous sol . un celier de 15 m2 .prix 540 mdt 
contactez nous sur leou le"
23,23,https://www.tayara.tn/item/appartements/tunis/el-menzah-1/vente-appartement-s3-renov-a-el-menzah-1/693ab14f8914daae5199a33a/,VENTE APPARTEMENT S+3 RENOVÉ A EL MENZAH 1,Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/el-menzah-1/vente-appartement-s3-renov-a-el-menzah-1/693ab14f8914daae5199a33a/,260000.0,"A la vente un s+3 a ElMenzah 1 de srf 114 m2 au 2 étage , composée de salon , salle a manger , 3 chambres , salle de bain , salle d'eau , cuisine , chauffage centrale , clims.prix 260 mdt 
contactez nous sur leou le"
24,24,https://www.tayara.tn/item/appartements/monastir/monastir/appartement-s3-cit-el-agba/693a8f968914daae51998d2d/,Appartement S+3 à cité El Agba,Appartements,Monastir,False,tayara,https://www.tayara.tn/item/appartements/monastir/monastir/appartement-s3-cit-el-agba/693a8f968914daae51998d2d/,259000.0,"Cet appartement est situé au troixième étage d'une résidence proche de toutes commodités et des facultés.

À l'entrée on découvre un salon lumineux grâce à son balcon .

La cuisine est équipée par des éléments de rangement fonctionnels.

Elle ouvre sur son propre séchoir.

La partie nuit loge trois chambres à coucher qui se partagent une salle de bain commune."
25,25,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/a-vendre-appartement-s2-a-ain-zaghouan/693ab040cd04d08be7492c71/,A vendre appartement s+2 a Ain zaghouan,Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/a-vendre-appartement-s2-a-ain-zaghouan/693ab040cd04d08be7492c71/,180000.0,"A vendre appartement s+2 a Ain zaghouan
L’appartement se compose comme suit :
- Un salon , salle à manger
- Une cuisine aménagée et équipée avec séchoir
- Deux chambres à coucher
- Une salle de bain
L’appartement est équipé par un chauffage central.
Titre individuel est disponible
Prix : 180000 dt
tél/.
watsap."
26,26,https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/693aae7ccd04d08be7492b63/,Appartement S+3 à Vendre,Appartements,La Manouba,False,tayara,https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/693aae7ccd04d08be7492b63/,220000.0,"Un appartement en S+3 qui occupe le deuxième étage sans ascenseur d'une résidence sécurisée et gardée composé d'un salon spacieux et lumineux avec balcon,une cuisine agencée et équipée avec un séchoir, une salle d'eau pour les invitès , trois chambres à coucher et une salle de bain avec doucheitalienne. Un dressing au Hall.
La visite est gratuite et sur rendez-vous"
27,27,https://www.tayara.tn/item/maisons-et-villas/la-manouba/denden/maison-inachev-vendre/691499d9145e1617cba42dbe/,Maison Inachevé à Vendre,Maisons et Villas,La Manouba,False,tayara,https://www.tayara.tn/item/maisons-et-villas/la-manouba/denden/maison-inachev-vendre/691499d9145e1617cba42dbe/,320000.0,"Cette maison plain pied à démolir se dresse au milieu d'un terrain de 307m² au cœur d'un quartier calme et résidentiel est à vendre. Le bien dispose un salon spacieux et lumineux ,un hall ,une cuisine aménagée, une chambre de séjour , deux chambre à coucher ,une salle de bain et un jardin.
La visite est gratuite et sur rendez-vous"
28,28,https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/685c41f9d5464a896c9b3793/,Appartement S+3 à Vendre,Appartements,La Manouba,False,tayara,https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/685c41f9d5464a896c9b3793/,315000.0,"Un appartement au quatrième étage avec ascenseur en S+3 de 126m² situé au cœur de La Manouba dans un quartier calme et sécurisé. La partie jour donne sur un salon avec balcon , cuisine aménagée et équipée une salle d'eau pour les invités.
La partie nuit est composé de trois chambres à coucher l'un avec dressing et une salle de bain commune.
Une place de parking disponible au sous-sol
La visite est gratuite et sur rendez-vous"
29,29,https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s3-vendre/68d920db07c7711d7c779d3b/,Appartement S+3 à Vendre,Appartements,tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s3-vendre/68d920db07c7711d7c779d3b/,387000.0,"Un appartement au deuxième étage avec ascenseur en S+3 de 162m² situé au cœur de La Manouba dans un quartier calme et sécurisé. La partie jour donne sur un salon avec balcon , cuisine aménagée et équipée une salle d'eau pour les invités.
La partie nuit est composé de trois chambres à coucher l'un avec dressing et une salle de bain commune.
Deux place de parking disponible au sous-sol
La visite est gratuite et sur rendez-vous"
30,30,https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s2-ksar-sad/693995d38914daae519931f4/,Appartement S2 À Ksar Saïd,Appartements,tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s2-ksar-sad/693995d38914daae519931f4/,98000.0,"À Vendre Appartement S2 Situé Exactement À Ksar Saïd, À Seulement 5 Minutes Du Bardo, Dans Un Quartier Résidentiel Calme, Proche De Toutes Les Commodités Nécessaires.
Emplacement Stratégique, À Proximité De Cité Tahrir, Ibn Khaldoun Et Cité El Hadhika, Avec Un Accès Facile Via La Route De Bizerte Et Cité El Intilaka.
Composition :
• Salon Avec Balcon
• Deux Chambres À Coucher
• Salle De Bain
• Cuisine Avec Séchoir
Informations Clés :
• 4ᵉ Étage (Sans Ascenseur)
• Surface Totale : 75 M²
• Titre Foncier Individuel
• Gaz De Ville Disponible

• Prix Demandé : 98 000 Dinars
Appartement Bien Situé, Idéal Pour Résidence Principale Ou Investissement À Petit Budget.

Pour Plus D’informations, Merci De Nous Contacter"
31,31,https://www.tayara.tn/item/appartements/ariana/ennasr/-ennasr-1-appartement-s4-transform-en-s3-vendre/693aa9e5cd04d08be74928ab/,📍 ENNASR 1 – APPARTEMENT S+4 TRANSFORMÉ EN S+3 À VENDRE,Appartements,Ariana,False,tayara,https://www.tayara.tn/item/appartements/ariana/ennasr/-ennasr-1-appartement-s4-transform-en-s3-vendre/693aa9e5cd04d08be74928ab/,39000.0,
32,32,https://www.tayara.tn/item/maisons-et-villas/nabeul/klibia/maison-r2-inacheve-cit-mirds-kelibia/677d6310b7de28167ed093df/,Maison R+2 inachevée à cité mirdès Kelibia,Maisons et Villas,Nabeul,False,tayara,https://www.tayara.tn/item/maisons-et-villas/nabeul/klibia/maison-r2-inacheve-cit-mirds-kelibia/677d6310b7de28167ed093df/,380000.0,"A vendre maison R+2 inachevée à cité mirdès Kelibia situé à 3 km de plage el mansoura de 360 m² avec une façade  de 10 mètres sur une de 7 mètres.
Rez de chaussé de surface bâti de 230 m² composé de deux maison composée chaque maison de deux chambres à coucher, un salon, une cuisine et une salle d’eau avec une terrasse et un jardin.
Prix Rez de chaussé: 160 000 Dt.
En 1er étage deux appartement de surface bâti 220 m² composée chaque appartement de deux chambres à coucher, un salon, une cuisine et une salle d’eau.
Prix 1er étage : 140 000 Dt.
En 2ème  étage deux appartement de surface bâti 210 m² composée chaque appartement de deux chambres à coucher, un salon, une cuisine et une salle d’eau.
Prix 2ème étage : 160 000 Dt
Prix total Maison R+2 : 380 000 Dt.
Référence : VT971
TEL ://WhatsApp :/"
33,33,https://www.tayara.tn/item/appartements/tunis/el-manar-2/-manar-2-appartement-s2-vendre/693aa9848914daae51999e90/,📍 MANAR 2 : APPARTEMENT S+2  À VENDRE,Appartements,Tunis,False,tayara,https://www.tayara.tn/item/appartements/tunis/el-manar-2/-manar-2-appartement-s2-vendre/693aa9848914daae51999e90/,779.0,
34,34,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche-vue-de-mer-/6939ace0cd04d08be748c873/,A Vendre S+3 Corniche ( vue de mer ),Appartements,Sousse,False,tayara,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche-vue-de-mer-/6939ace0cd04d08be748c873/,295000.0,"Appartement S+3 avec vue mer – Corniche
Au 7ᵉ étage d’une résidence sécurisée avec ascenseur, cet appartement S+3 offre un emplacement privilégié en deuxième ligne de plage. Il comprend un salon lumineux avec terrasse vue mer, une cuisine équipée, trois chambres dont une avec dressing, une salle de bain avec baignoire et une salle d’eau. Idéalement situé à proximité immédiate de la mer et de toutes les commodités, il allie confort et cadre de vie agréable."
35,35,https://www.tayara.tn/item/appartements/ariana/borj-louzir/borj-louzir-behi-el-adgham-appartement-s2-au-rezdechausse-a-vendre/693aa8e78914daae51999e23/,BORJ LOUZIR  BEHI EL ADGHAM: APPARTEMENT S+2  AU REZ-DE-CHAUSSÉE A VENDRE,Appartements,Ariana,False,tayara,https://www.tayara.tn/item/appartements/ariana/borj-louzir/borj-louzir-behi-el-adgham-appartement-s2-au-rezdechausse-a-vendre/693aa8e78914daae51999e23/,779.0,
36,36,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2/693a90cf8914daae51998def/,A Vendre S+2,Appartements,Sousse,False,tayara,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2/693a90cf8914daae51998def/,194000.0,"À Vendre – Appartement S+2 au 1ᵉʳ étage, proche de la mer
Appartement spacieux situé au 1ᵉʳ étage d’un immeuble sécurisé et bien entretenu. Il profite d’un excellent emplacement, en 3ᵉ position de la mer.
Composition :
Salon lumineux avec balcon
Cuisine équipée avec rangements
Deux chambres confortables
Salle de bain avec baignoire
Un bien idéal pour un investissement locatif ou pour une habitation principale pratique, agréable et proche de toutes les commodités."
37,37,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-corniche/693a8efe8914daae51998cd4/,A Vendre S+2 Corniche,Appartements,Sousse,False,tayara,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-corniche/693a8efe8914daae51998cd4/,80000.0,"Découvrez cet appartement S+2 , situé au 4ᵉ étage d’une résidence paisible, sécurisée et familiale.
Il se compose de :
Un salon lumineux, offrant un espace de vie agréable
Une cuisine moderne fonctionnelle
Deux chambres confortables, adaptées à tous les besoins
Une salle de bain équipée
L’appartement bénéficie d’un emplacement privilégié, à proximité de toutes les commodités : commerces, transports, écoles et universités."
38,38,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a7cecd04d08be748c561/,A Vendre S+3 Corniche,Appartements,Sousse,False,tayara,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a7cecd04d08be748c561/,558000.0,"Appartement haut standing – Quartier résidentiel calme
Au 1er étage d’une résidence dans un quartier prestigieux, cet appartement allie confort et élégance. Il se compose d’une suite parentale avec salle de bain privative, deux chambres avec dressings, une cuisine moderne équipée, un salon lumineux, une salle de bain invités et une grande terrasse non couverte  de 114 m², idéale pour profiter de moments de détente ou recevoir en plein air."
39,39,https://www.tayara.tn/item/maisons-et-villas/tunis/le-kram/-vendre-villa-deux-tages-spars-kherredine-banlieue-nord-de-tunis/6939442bcd04d08be7488947/,"À vendre : Villa à deux étages séparés – Kherredine, banlieue nord de Tunis",Maisons et Villas,Tunis,False,tayara,https://www.tayara.tn/item/maisons-et-villas/tunis/le-kram/-vendre-villa-deux-tages-spars-kherredine-banlieue-nord-de-tunis/6939442bcd04d08be7488947/,950000.0,"ALBAYT IMMOBILIER 
  À vendre : Villa à deux étages séparés – Kherredine, banlieue nord de Tunis

Belle villa bâtie sur un terrain de 380 m², idéalement située au niveau du rond-point de Kherredine (banlieue nord).

Le rez-de-chaussée, récemment rénové, offre un excellent confort avec :

une piscine privée,

un jardin arboré,

un garage,

une suite parentale,

un salon et salle à manger spacieux,

ainsi qu’une chambre supplémentaire.

Le 1er étage, doté d’une entrée totalement indépendante, se compose d’un grand S+3 nécessitant des travaux de rénovation — idéal pour un second logement, un investissement locatif ou une famille élargie.

📍 Emplacement : Kherredine – banlieue nord de Tunis et 400 m de la plage 
📐 Terrain : 380 m²
🏠 Deux étages séparés – fort potentiel
 Contact"
40,40,https://www.tayara.tn/item/appartements/sousse/chatt-mariem/appartement-vendre/691627c3145e1617cba5063b/,appartement à vendre,Appartements,Sousse,False,tayara,https://www.tayara.tn/item/appartements/sousse/chatt-mariem/appartement-vendre/691627c3145e1617cba5063b/,235000.0,"REMAX masters vous propose un appartement S+2 situé à tantana Chott Mariem, sousse a 150m de la mer.
l'appartement se compose :
un salon à l'entrée 
Cuisine équipée 
Deux chambres à couchées 
Salle de bain 
Climatiseur à chaque pièce 
Résidence r+5 sécurisée avec ascenseur 
Balcon 
Séchoir 
Superfecie :94.50m²"
41,41,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a5ffcd04d08be748c449/,A Vendre S+3 Corniche,Appartements,Sousse,False,tayara,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a5ffcd04d08be748c449/,561000.0,"Appartement haut standing – Quartier résidentiel calme
Situé au 4ᵉ étage d’une résidence dans un quartier prestigieux, cet appartement de 175 m² (155 m² habitables + 20 m² de terrasse) allie élégance et confort. Il comprend une suite parentale avec salle de bain privative, deux chambres avec dressings, une cuisine moderne équipée, un salon lumineux, une salle de bain invités et une grande terrasse baignée de lumière naturelle."
42,42,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a0d9cd04d08be748c187/,A Vendre S+3 Corniche,Appartements,Sousse,False,tayara,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a0d9cd04d08be748c187/,300000.0,"Appartement haut standing , situé au 2ᵉ étage dans un quartier calme ,cet appartement de 204 m² allie élégance, confort et modernité. Il comprend une suite parentale avec salle de bain privative, deux chambres avec dressings, une cuisine moderne équipée avec séchoir, deux salons lumineux, une salle de bain commune, une salle d’eau invités et des balcons offrant une belle luminosité naturelle."
